[2021-07-12 12:21:50.851874]	: cs 10000  Hours
[2021-07-12 12:21:56.755344]	: cs 1000  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-12 12:43:04.000816]	: maths 19  Hours
[2021-07-16 13:02:45.777142]	: cs fo 4  Hours
